Name,Year,Quarter,Cash and Due from Banks,Goodwill,Income Before Tax,Interest Income,Loans,Net Income,Net Interest Income,Net Loans,Non-Interest Income,Retained Earnings,Tax Expense,Total Assets,Total Liabilities,Total Stockholders Equity,Interest_Rate,Stock_Price
MBWM,2020,Mar. 31,49.8,49.5,13.2,37.9,2901.5,10.7,30.3,2876.7,6.5,114.0,13.2,3657.4,3239.0,418.4,0.125,17.674
MBWM,2020,Jun. 30,84.5,49.5,10.7,37.2,3333.1,8.7,30.6,3300.8,11.0,118.2,10.7,4314.4,3889.2,425.2,0.125,19.049
MBWM,2020,Sep. 30,59.3,49.5,13.2,35.6,3350.5,10.7,29.5,3315.0,13.3,124.5,13.2,4420.6,3988.7,431.9,0.125,15.37
MBWM,2020,Dec. 31,62.8,49.5,17.7,37.6,3193.5,14.0,31.8,3155.5,14.4,134.0,17.7,4437.3,3995.8,441.6,0.125,23.475
MBWM,2021,Mar. 31,55.5,49.5,17.6,34.8,3364.4,14.2,29.5,3325.7,13.5,143.6,17.6,4710.4,4269.1,441.2,0.125,28.367
MBWM,2021,Jun. 30,75.9,49.5,22.3,35.8,3248.8,18.1,30.9,3212.9,14.6,157.2,22.3,4757.4,4305.5,451.9,0.125,26.632
MBWM,2021,Sep. 30,83.8,49.5,18.6,35.9,3313.7,15.1,31.1,3276.3,15.6,167.5,18.6,4964.4,4512.1,452.3,0.125,28.5
MBWM,2021,Dec. 31,59.4,49.5,15.2,37.0,3453.5,11.6,32.6,3418.1,12.5,174.5,15.2,5257.7,4801.2,456.6,0.125,31.471
MBWM,2022,Mar. 31,71.5,49.5,14.3,35.9,3555.8,11.5,30.9,3520.6,9.3,181.5,14.3,5175.9,4739.4,436.5,0.375,32.11
MBWM,2022,Jun. 30,89.2,49.5,14.6,39.5,3723.8,11.7,34.3,3687.8,7.7,188.5,14.6,5058.6,4629.6,429.0,1.625,29.206
MBWM,2022,Sep. 30,63.1,49.5,20.0,48.1,3881.0,16.0,42.4,3841.8,7.3,199.5,20.0,5016.9,4600.7,416.3,3.125,27.418
MBWM,2022,Dec. 31,61.9,49.5,26.9,58.3,3916.6,21.9,50.6,3874.4,7.8,216.3,26.9,4872.6,4431.2,441.4,4.375,31.199
MBWM,2023,Mar. 31,47.2,49.5,26.1,60.5,3965.5,21.0,48.4,3922.7,7.0,232.1,26.1,4895.9,4428.5,467.4,4.875,28.761
MBWM,2023,Jun. 30,69.1,49.5,25.4,65.9,4051.8,20.4,47.6,4007.1,7.6,247.3,25.4,5137.6,4658.9,478.7,5.125,26.226
MBWM,2023,Sep. 30,64.6,49.5,26.0,71.2,4104.4,20.9,49.0,4056.4,9.2,262.8,26.0,5251.0,4767.8,483.2,5.375,30.032
MBWM,2023,Dec. 31,70.4,49.5,25.2,73.8,4303.8,19.9,48.5,4253.8,8.3,277.5,25.2,5353.2,4831.1,522.1,5.375,39.617
MBWM,2024,Mar. 31,52.6,49.5,27.0,76.7,4322.0,21.6,47.4,4270.4,10.9,293.6,27.0,5466.0,4929.3,536.6,5.375,38.128
MCB,2018,Mar. 31,370.9,9.7,9.1,18.6,1526.2,9.1,16.5,1509.9,5.4,32.2,9.1,1968.9,1725.8,243.0,1.625,42.11
MCB,2018,Jun. 30,10.1,9.7,8.5,20.0,1599.6,8.5,17.4,1582.2,2.6,38.0,8.5,1924.5,1674.9,249.6,1.875,52.48
MCB,2018,Sep. 30,6.2,9.7,10.5,21.9,1698.9,10.5,18.4,1680.4,2.0,45.1,10.5,1930.7,1673.4,257.3,2.125,41.12
MCB,2018,Dec. 31,9.2,9.7,8.7,23.4,1865.2,8.7,18.9,1846.3,2.2,51.4,8.7,2182.6,1918.1,264.5,2.375,30.85
MCB,2019,Mar. 31,9.4,9.7,12.3,27.0,2102.4,12.3,20.9,2081.6,2.4,59.8,12.3,2545.2,2271.4,273.8,2.375,34.79
